id,trial,channel,numTiles,GroupCount,mean_delta,mean_theta,mean_alpha,mean_beta,mean_lowerAlpha,mean_upperAlpha,mean_lowerBeta,mean_upperBeta
A07,1,1,3,3,2.46917620217136,1.48173297548251,1.68854918580347,0.342194286420809,0.840092435421856,2.53700593618508,0.416001469383583,0.286838899198727
A07,1,2,3,3,5.01084831187694,1.25270467244636,0.637776652619505,0.238806261799975,0.777907826469763,0.497645478769247,0.315460676190114,0.181315451007371
A07,1,3,3,3,2.56448825207933,0.367005310758037,0.865456892975263,0.0958391084711421,0.179080513034278,1.55183327291625,0.116478633522692,0.0803594646824795
A07,1,4,3,3,5.28872059275185,0.869369749480704,0.545561428931782,0.216536431511424,0.501588513113501,0.589534344750063,0.279177889946739,0.169555337684938
A07,1,5,3,3,3.12516324011833,0.741227634595286,0.350373537203812,0.215257608145746,0.402085719689052,0.298661354718571,0.283608548940788,0.163994402549465
A07,1,6,3,3,9.35749398949126,2.35995220461381,1.30998757489314,0.418836151303366,1.57168589673994,1.04828925304634,0.52885442753095,0.336322444132678
A07,1,7,3,3,11.1300310697732,2.18028560682693,2.96141937169594,1.16077626965578,2.07431027759493,3.84852846579694,1.60425915088614,0.82816410873301
A07,1,8,3,3,10.8149708921892,2.41499045826584,2.46538713460572,0.882521819589401,2.03810108204943,2.89267318716201,1.27164912774649,0.590676338471585
A07,1,9,3,3,11.460665906427,2.45605571464448,3.25009827214155,0.442670619564663,1.70183130254248,4.79836524174062,0.600285458671202,0.32445949023476
A07,1,10,3,3,17.5706330252026,2.83792281696497,1.93809293628795,0.873335146148591,2.29256249618517,1.58362337639073,0.767783301498304,0.952499029636306
A07,1,11,3,3,4.98033635734715,0.9432364887965,1.24249677420496,0.229971369728019,0.446389142094875,2.03860440631505,0.27773442639839,0.19414907722524
A07,1,12,3,3,6.63693054864653,0.905685603459547,0.457850526612859,0.262672239640015,0.476974988883223,0.438726064342494,0.337526645022707,0.206531435602996
A07,1,13,3,3,12.2726530741215,3.51584801371051,4.67693251846599,2.29160475014057,4.549430970623,4.80443406630897,3.99766939939461,1.01205626320004
A07,1,14,3,3,1.60325901953531,0.522385816811657,0.134645418339286,0.131171451816216,0.182520532384144,0.0867703042944292,0.188397300294646,0.0882520654573944
A07,1,15,3,3,4.45551028313453,2.65516124423146,1.14935934310001,0.451815503834555,1.84721237504993,0.451506311150086,0.556652749180617,0.373187569825008
A07,1,16,3,3,1.63012208565643,0.512280476804007,0.227746802951152,0.262415627569016,0.290285129563007,0.165208476339297,0.270979442980281,0.255992766010567
A07,1,17,3,3,8.74742815119036,2.03701300152285,0.639825322714033,0.719121830131423,0.455727951948441,0.823922693479625,0.839096579673187,0.6291407679751
A07,1,18,3,3,2.79324611501863,0.639897039250203,0.303060146891153,0.214650283368549,0.301238238237313,0.304882055544992,0.216716326346825,0.213100751134841
A07,4,1,6,6,2.83256036881976,1.39245163320418,1.21153252127984,0.379277271466113,1.21896464514323,1.20410039741646,0.317479645227544,0.42562549114504
